Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Konsulʹtativnaâ Psihologiâ i Psihoterapiâ,http://psyjournals.ru/en/mpj/index.shtml,Counseling Psychology and Psychotherapy ,2075-3470,2311-9446,Yes,http://psyjournals.ru/mpj/2015/n1/,Publisher's own license
Diagnostics,http://www.mdpi.com/journal/diagnostics,,2075-4418,,,,CC BY
Journal of Personalized Medicine,http://www.mdpi.com/journal/jpm,,2075-4426,,,,CC BY
Galaxies,http://www.mdpi.com/journal/galaxies,,2075-4434,,,,CC BY
Lubricants,http://www.mdpi.com/journal/lubricants,,2075-4442,,,,CC BY
Insects,http://www.mdpi.com/journal/insects/,,2075-4450,,,,CC BY
Sports,http://www.mdpi.com/journal/sports,,2075-4663,,,,CC BY
Societies,http://www.mdpi.com/journal/societies,,2075-4698,,,,CC BY
Metals,http://www.mdpi.com/journal/metals,,2075-4701,,,,CC BY
Laws,http://www.mdpi.com/journal/laws,,2075-471X,,,,CC BY
Physical Education of Students,http://www.sportedu.org.ua,Fizičeskoe Vospitanie Studentov,2075-5279,2223-2125,,,CC BY-NC-ND
Bulletin du Centre de Recherche Français de Jérusalem,http://bcrfj.revues.org/,BCRFJ : Bulletin du Centre de Recherche Francais de Jerusalem,2075-5287,,,,
Buildings,http://www.mdpi.com/journal/buildings,,2075-5309,,,,CC BY
Journal of Phytology,http://scienceflora.org/journals/index.php/jp/,,2075-6240,,,,
Nanotehnologii v Stroitelʹstve,http://nanobuild.ru/,Nanotechnologies in Construction,,2075-8545,,,CC BY
Neuropsicologia Latinoamericana,http://neuropsicolatina.org/index.php/Neuropsicologia_Latinoamericana/index,,2075-9479,,,,
eJournal of eDemocracy & Open Government,http://www.jedem.org,JeDEM : eJournal of eDemocracy and Open Government,2075-9517,,,,CC BY
Karpatsʹkì Matematičnì Publìkacìï,http://journals.pu.if.ua/index.php/cmp,Carpathian Mathematical Publications,2075-9827,2313-0210,,,CC BY-NC-ND
Istoričeskaâ i Socialʹno-obrazovatelʹnaâ Myslʹ ,http://www.hist-edu.ru/,Historical and Social-educational Idea,2075-9908,2219-6048,,,CC BY
Arts,http://www.mdpi.com/journal/arts,,2076-0752,,,,CC BY
Social Sciences ,http://www.mdpi.com/journal/socsci,,2076-0760,,,,CC BY
Humanities ,http://www.mdpi.com/journal/humanities,,2076-0787,,,,CC BY
Pathogens,http://www.mdpi.com/journal/pathogens,,2076-0817,,,,CC BY
Actuators,http://www.mdpi.com/journal/actuators,,,2076-0825,Yes,http://www.mdpi.com/journal/actuators/stats,CC BY
International Journal of Wireless and Microwave Technologies,http://www.mecs-press.org/ijwmt/,,2076-1449,2076-9539,,,
Trudy Odesskogo Politehničeskogo Universiteta,http://pratsi.opu.ua/,Odes’kyi Politechnichnyi Universytet: Pratsi,2076-2429,2223-3814,Yes,http://pratsi.opu.ua/articles/show/1139,CC BY
Microorganisms,http://www.mdpi.com/journal/microorganisms,,2076-2607,,,,CC BY
Animals,http://www.mdpi.com/journal/animals/,,,2076-2615,Yes,http://www.mdpi.com/journal/animals/stats,CC BY
"Magazin erwachsenenbildung.at : Das Fachmedium für Forschung, Praxis und Diskurs",http://www.erwachsenenbildung.at/magazin,,2076-2879,1993-6818,,,
International Journal of Energy and Environment ,http://www.ijee.ieefoundation.org/,IJEE,2076-2895,2076-2909,,,CC BY
Geosciences,http://www.mdpi.com/journal/geosciences,,2076-3263,,,,CC BY
Medical Sciences,http://www.mdpi.com/journal/medsci,,,2076-3271,Yes,http://www.mdpi.com/journal/medsci/stats,CC BY
Behavioral Sciences ,http://www.mdpi.com/journal/behavsci,,2076-328X,,,,CC BY
Environments,http://www.mdpi.com/journal/environments,,2076-3298,,Yes,http://www.mdpi.com/journal/environments/stats,CC BY
Administrative Sciences,http://www.mdpi.com/journal/admsci,,,2076-3387,Yes,http://www.mdpi.com/journal/admsci/stats,CC BY
Applied Sciences,http://www.mdpi.com/journal/applsci,,2076-3417,,Yes,http://www.mdpi.com/journal/applsci/stats,CC BY
Brain Sciences,http://www.mdpi.com/journal/brainsci/,,2076-3425,,,,CC BY
Microarrays,http://www.mdpi.com/journal/microarrays,,2076-3905,,,,CC BY
Antioxidants,http://www.mdpi.com/journal/antioxidants,,,2076-3921,Yes,http://www.mdpi.com/journal/antioxidants/stats,CC BY
Vaccines,http://www.mdpi.com/journal/vaccines,,2076-393X,,,,CC BY
Sovremennye Tehnologii v Medicine,http://www.stm-journal.ru,Modern Technologies in Medicine,2076-4243,,,,
Učenye Zapiski Komsomolʹskogo-na-Amure Gosudarstvennogo Tehničeskogo Universiteta,http://www.uzknastu.ru,Scholarly Notes of Komsomolsk-na-Amure State Technical University,2076-4359,2222-5218,,,Russian Index of Science Citation License 
Recent Research in Science and Technology,http://scienceflora.org/journals/index.php/rrst/,,2076-5061,,,,
Žurnal Institucionalʹnyh Issledovanij,http://hjournal.ru/en/journals/journal-of-institutional-studies.html,Journal of Institutional Studies,2076-6297,2412-6039,Yes,http://hjournal.ru/en/journals/journal-of-institutional-studies/2015/142-no-3.html,CC BY
International Journal of Medical Students,http://www.ijms.info,,2076-6327,,,,CC BY-NC-ND
Lëd i Sneg,http://ice-snow.igras.ru/,Ice and Snow,2076-6734,2412-3765,,,CC BY
International Journal of Research and Reviews in Applied Sciences,http://www.arpapress.com/,,2076-734X,2076-7366,,,
Information Technologies and Learning Tools ,http://journal.iitta.gov.ua,Ìnformacìjnì Tehnologì ì Zasobi Navčannâ ,2076-8184,,,,CC BY-NC-SA
Revue Internationale de Pédagogie de l’Enseignement Supérieur,http://ripes.revues.org,RIPES,2076-8427,,,,
Rambam Maimonides Medical Journal,http://www.rmmj.org.il,RMMJ,,2076-9172,,,CC BY
"International Journal of Information, Business and Management",http://ijibm.site666.com/,IJBIM,2076-9202,2218-046X,,,
Membranes,http://www.mdpi.com/journal/membranes/,,2077-0375,,,,CC BY
Journal of Clinical Medicine,http://www.mdpi.com/journal/jcm,,2077-0383,,,,CC BY
Journal of Ecobiotechnology,http://scienceflora.org/journals/index.php/jebt/,,2077-0464,,,,
Agriculture ,http://www.mdpi.com/journal/agriculture,,,2077-0472,Yes,http://www.mdpi.com/journal/agriculture/stats,CC BY
"Asian Journal of Engineering, Sciences & Technology",http://ajest.iqra.edu.pk/journal.php,,2077-1142,,,,
Journal of Marine Science and Engineering ,http://www.mdpi.com/journal/jmse,,,2077-1312,Yes,http://www.mdpi.com/2077-1312/2/1/247,CC BY
Religions,http://www.mdpi.com/journal/religions/,,2077-1444,,,,CC BY
Sovremennye Issledovaniâ Socialʹnyh Problem ,http://sisp.nkras.ru/e-en/,Modern Research of Social Problems,2077-1770,2218-7405,,,CC BY-NC-ND
Transformación,http://transformacion.reduc.edu.cu/index.php/transformacion/,,,2077-2955,,,CC BY-NC-SA
Revue de Primatologie ,http://primatologie.revues.org ,,2077-3757,,,,
"Law, Democracy & Development ",http://www.ajol.info/index.php/ldd,"LDDD : Law, Democracy and Development ",2077-4907,,,,
Journal of Nano- and Electronic Physics,http://jnep.sumdu.edu.ua/,Журнал нано- та електроної фізики : JNEP,2077-6772,,,,CC BY-SA
Mycosphere,http://www.mycosphere.org/,,2077-7000,2077-7019,,,
Ekonomìčna Kìbernetika,http://eccyb.org/index.php/isjec,Economic Cybernetics,2077-8031,2312-5837,,,CC BY-SA
Scientia Agropecuaria,http://revistas.unitru.edu.pe/index.php/scientiaagrop/,,2077-9917,2306-6741,,,CC BY-NC
Lecture Notes in Engineering and Computer Science,http://www.iaeng.org/LNECS/,,2078-0958,2078-0966,,,
Istoriâ i Istoriki v Kontekste Vremeni,http://ejournal3.com/en/index.html,History and Historians in the Context of the Time,2078-1296,,Yes,http://ejournal3.com/en/archive.html?number=2015-06-21-16:17:06&journal=15,CC BY-NC-SA
Challenges,http://www.mdpi.com/journal/challenges/,,2078-1547,,,,CC BY
South African Journal of Information Management,http://www.sajim.co.za/index.php/SAJIM,SAJIM,2078-1865,1560-683X,,,CC BY
Information,http://www.mdpi.com/journal/information/,,2078-2489,,,,CC BY
Geodinamika i Tektonofizika,http://gt.crust.irk.ru/index.en.html,Geodynamics & Tectonophysics,,2078-502X,Yes,http://gt.crust.irk.ru/jour/article/view/179/189,CC BY
African Journal of Health Professions Education,http://www.ajhpe.org.za/index.php/ajhpe/index,AHJPE,2078-5127,,,,
Voprosy Regulirovaniâ Èkonomiki,http://hjournal.ru/en/journals/journal-of-economic-regulation.html,Journal of Economic Regulation ,2078-5429,2412-6047,Yes,http://hjournal.ru/en/journals/journal-of-economic-regulation/2015/140-no-3.html,CC BY
Sociosfera,http://sociosphera.com/en/sociosphere/,Sociosphera,2078-7081,,,,
CorSalud,http://www.corsalud.sld.cu/corsaludenglish/index.html,,2078-7170,,,,CC BY
Journal of Diabetology : Official Journal of Diabetes in Asia Study Group,http://www.journalofdiabetology.org/,,2078-7685,,,,
Bulletin of the National Technical University «KhPI» : Series of «Information and Modeling»,http://pim.khpi.edu.ua/,"Vestnik Nacionalʹnogo Tehničeskogo Universiteta ""HPI"" : Informatika i Modelirovanie",2079-0031,,,,
Rwanda Medical Journal,http://bioline.org.br/rw,,2079-097X,,,,
Iranica Journal of Energy and Environment (IJEE),http://idosi.org/ijee/ijee.htm,Iranica Journal of Energy & Environment (IJEE),2079-2115,2079-2123,,,CC BY-NC-SA
Research in the History of Technology,http://journal.museum.kpi.ua/?lang=eng,,2079-2999,,,,
Computation (Basel),http://www.mdpi.com/journal/computation,,,2079-3197,Yes,http://www.mdpi.com/journal/computation/stats,CC BY
Journal of Intelligence,http://www.mdpi.com/journal/jintelligence,,,2079-3200,Yes,http://www.mdpi.com/2079-3200/2/2/36,CC BY
Academicus : International Scientific Journal,http://www.academicus.edu.al,,2079-3715,,,,
Journal of Functional Biomaterials,http://www.mdpi.com/journal/jfb/,,2079-4983,,,,CC BY
Nanomaterials,http://www.mdpi.com/journal/nanomaterials,,2079-4991,,,,CC BY
Oñati Socio-Legal Series,http://opo.iisj.net/,,,2079-5971,,,CC BY-NC-ND
Biosensors,http://www.mdpi.com/journal/biosensors,,2079-6374,,Yes,http://www.mdpi.com/journal/biosensors/stats,CC BY
Antibiotics,http://www.mdpi.com/journal/antibiotics,,,2079-6382,Yes,http://www.mdpi.com/journal/antibiotics/stats,CC BY
Coatings,http://www.mdpi.com/journal/coatings,,2079-6412,,,,CC BY
Fibers,http://www.mdpi.com/journal/fibers/,,2079-6439,,,,CC BY
Annals of King Edward Medical University Lahore Pakistan,http://www.annalskemu.org,Annals of KEMU,2079-7192,2079-0694,,,
Indo-Pacific Journal of Phenomenology,http://www.ipjp.org,,2079-7222,1445-7377,,,CC BY-NC-ND
Biology,http://www.mdpi.com/journal/biology,,2079-7737,,,,CC BY
Reading & Writing,http://www.rw.org.za,,2079-8245,2308-1422,,,CC BY
Baltic Region,http://journals.kantiana.ru/eng/baltic_region/,,2079-8555,,,,
Systems,http://www.mdpi.com/journal/systems,,2079-8954,,,,CC BY
Journal of Low Power Electronics and Applications,http://www.mdpi.com/journal/jlpea,JPLEA : Journal of Low Power Electronics & Applications,2079-9268,,,,CC BY
Resources,http://www.mdpi.com/journal/resources,,2079-9276,,,,CC BY
Cosmetics,http://www.mdpi.com/journal/cosmetics,,,2079-9284,Yes,http://www.mdpi.com/2079-9284/1/2/105,CC BY
Electronics (Basel),http://www.mdpi.com/journal/electronics,,2079-9292,,,,CC BY
Diseases,http://www.mdpi.com/journal/diseases,,,2079-9721,Yes,http://www.mdpi.com/journal/diseases/stats,CC BY
Toruńskie Studia Bibliologiczne,http://www.home.umk.pl/~tsb/?q=pl,Bibliological Studies of Torun,2080-1807,,,,CC BY-NC-ND
PULS UCZELNI,http://higherschoolspulse.com/index.php?p=1,Higher School's Pulse,2080-2021,2449-9021,Yes,http://higherschoolspulse.com/stats.php?icid=1170725,CC BY-NC-SA
Biomedical Human Kinetics,http://www.degruyter.com/view/j/bhk,,2080-2234,,,,CC BY
Advances in Science and Technology Research Journal,http://www.astrj.com,Adv. Sci. Technol. Res. J.,2080-4075,2299-8624,Yes,http://www.astrj.com/,CC BY
Central European Journal of Urology,http://www.ceju.eu,,2080-4806,2080-4873,,,
Civil and Environmental Engineering Reports,http://www.degruyter.com/view/j/ceer,,2080-5187,2450-8594,,,CC BY-NC-ND
Geologos,http://www.degruyter.com/view/j/logos,,,2080-6574,,,CC BY
Cognitive Studies | Études cognitives,https://ispan.waw.pl/journals/index.php/cs-ec/index,,2080-7147,2392-2397,,,CC BY
Bulletin of Geography. Physical Geography Series ,http://www.zklim.umk.pl/bulletin-of-geography,,2080-7686,,,,
Przegląd Geopolityczny,http://przeglad.org/,,2080-8836,,,,CC BY-NC-ND
Inżynieria Ekologiczna,http://www.ineko.net.pl,Ecological Engineering,2081-139X,2392-0629,Yes,http://www.ineko.net.pl,CC BY
Journal of Education Culture and Society,http://www.jecs.pl,,2081-1640,,,,CC BY-NC-ND
Polish Journal of Social Rehabilitation,http://www.resocjalizacjapolska.pl,Resocjalizacja Polska,2081-3767,2392-2656,,,CC BY
Paladyn: Journal of Behavioral Robotics,http://www.degruyter.com/view/j/pjbr,,,2081-4836,,,CC BY-NC-ND
Annales Universitatis Paedagogicae Cracoviensis. Studia Mathematica ,http://studmath.up.krakow.pl/,,2081-545X,2300-133X,,,None
Quaestiones Geographicae,http://www.degruyter.com/view/j/quageo,,,2081-6383,,,CC BY-NC-ND
Colloquia Humanistica,https://ispan.waw.pl/journals/index.php/ch/index,,2081-6774,2392-2419,,,CC BY
Translational Neuroscience,http://www.degruyter.com/view/j/tnsci,,,2081-6936,,,CC BY-NC-ND
Praktyka Teoretyczna,http://www.praktykateoretyczna.pl,,2081-8130,,,,CC BY-NC-SA
Polish Polar Research,http://www.versita.com/ppr,,,2081-8262,,,
International Journal of Electronics and Telecommunications,http://Ijet.pl,,2081-8491,2300-1933,,Ijet.pl,CC BY-NC-ND
EduAction : Electronic Education Magazine,http://eduakcja.eu,,2081-870X,,,,CC BY-NC-ND
Operations Research and Decisions,http://www.ord.pwr.wroc.pl,,2081-8858,2391-6060,,,
Our Dermatology Online,http://www.odermatol.com/,Nasza Dermatologia Online ,2081-9390,,,,CC BY
Annals of Warsaw University of Life Sciences - SGGW : Land Reclamation,http://www.degruyter.com/view/j/sggw,,,2081-9617,,,CC BY
Journal of Geodetic Science,http://www.degruyter.com/view/j/jogs,,,2081-9943,,,CC BY-NC-ND
Acta Palaeobotanica ,http://www.botany.pl/ibwyd/acta_paleo/act-p.htm,,,2082-0259,,,
Management and Production Engineering Review,http://www.degruyter.com/view/j/mper,,,2082-1344,,,CC BY-NC-ND
 Challenges of Modern Technology,http://www.journal.young-scientists.eu/,,2082-2863,2353-4419,Yes,http://www.journal.young-scientists.eu/index.php/statistics,CC BY-NC-ND
Contemporary Economy,http://wspolczesnagospodarka.pl,Współczesna Gospodarka,2082-677X,,,,
Avant : Journal of Philosophical-Interdisciplinary Vanguard,http://avant.edu.pl/en/,,2082-7598,2082-6710,,,
Polish Journal of Sport and Tourism,http://www.degruyter.com/view/j/pjst,Polish Journal of Sport &Tourism,,2082-8799,,,CC BY
Forest Research Papers,http://www.degruyter.com/view/j/frp,Leśne Prace Badawcze,,2082-8926,,,CC BY-NC-ND
Wychowanie w Rodzinie ,http://www.wwr.uni.wroc.pl,Family Upbringing,2082-9019,2300-5866,,,
Littera Antiqua,http://www.litant.eu,,2082-9264,,,,
Oeconomia Copernicana,http://oeconomia.pl/index.php/en/,,2083-1277,2353-1827,Yes,http://econpapers.repec.org/article/truumkoec/,CC BY-ND
Materials Science-Poland,http://www.degruyter.com/view/j/msp,,,2083-134X,,,CC BY-NC-ND
Progress in Health Sciences,http://progress.umb.edu.pl/,,2083-1617,2083-6260,,,
"Archiwum Fotogrametrii, Kartografii i Teledetekcji",http://www.sgp.geodezja.org.pl/ptfit/archiwum.html,"Archives of Photogrammetry, Cartography and Remote Sensing",2083-2214,,,,CC BY-SA
Ring,http://www.degruyter.com/view/j/ring,,,2083-3520,,,CC BY
Annales UMCS: Informatica,http://www.degruyter.com/view/j/umcsinfo,,,2083-3628,,,CC BY-NC-ND
iNFOTEZY,http://www.ujk.edu.pl/infotezy/,,2083-3652,,,,
Journal of Water and Land Development,http://www.degruyter.com/view/j/jwld,,,2083-4535,,,
Anthropological Review,http://www.degruyter.com/view/j/anre,,,2083-4594,,,CC BY
Journal of Konbin,http://www.degruyter.com/view/j/jok,,,2083-4608,,,
Advances in Materials Science,http://www.degruyter.com/view/j/adms,,,2083-4799,,,CC BY
Archives of Environmental Protection,http://www.degruyter.com/view/j/aep,,,2083-4810,,,CC BY-NC-ND
Polish Journal of Public Health,http://www.pjph.eu/,Zdrowie Publiczne,,2083-4829,,,
Discussiones Mathematicae Graph Theory,http://www.degruyter.com/view/j/dmgt,,,2083-5892,,,CC BY-NC-ND
Folia Horticulturae,http://www.degruyter.com/view/j/fhort,,,2083-5965,,,CC BY-NC-ND
Polish Journal of Food and Nutrition Sciences,http://www.degruyter.com/view/j/pjfns,,,2083-6007,,,CC BY-NC-ND
Archives of Thermodynamics,http://www.degruyter.com/view/j/aoter,,,2083-6023,,,CC BY
Lingua Posnaniensis,http://www.degruyter.com/view/j/linpo,,,2083-6090,,,CC BY
Zoologica Poloniae,http://www.degruyter.com/view/j/zoop,,,2083-6112,,,CC BY-NC-ND
Archives of Polish Fisheries,http://www.degruyter.com/view/j/aopf,,,2083-6139,,,CC BY
Camera Separatoria,http://dach.ich.uph.edu.pl/camera_separatoria.html,,2083-6392,,,,
TransNav : International Journal on Marine Navigation and Safety of Sea Transportation,http://www.transnav.eu,,2083-6473,2083-6481,,,CC BY-NC
Argument : Biannual Philosophical Journal,http://www.argument-journal.eu,,2083-6635,2084-1043,,,CC BY-NC-ND
Annales Universitatis Paedagogicae Cracoviensis. Studia de Cultura,http://studiadecultura.up.krakow.pl/,,2083-7275,2391-4432,,,CC BY
Polish Maritime Research,http://www.degruyter.com/view/j/pomr,,,2083-7429,,,
Bulletin of Geography : Socio-Economic Series,http://www.degruyter.com/view/j/bog,,,2083-8298,,,CC BY
International Journal of Applied Mathematics and Computer Science,https://www.amcs.uz.zgora.pl/,,,2083-8492,,,CC BY-NC-ND
Psychology of Language and Communication,http://www.degruyter.com/view/j/plc,,,2083-8506,,,
Research Works of Air Force Institute of Technology,http://www.degruyter.com/view/j/afit,Prace Naukowe Instytutu Technicznego Wojsk Lotniczych,,2083-8573,,,CC BY-NC-ND
Polish Hyperbaric Research,http://www.degruyter.com/view/j/phr,,,2084-0535,,,CC BY-NC-ND
Contemporary Economics,http://we.vizja.pl/en/home,,2084-0845,,,,
"Wroclaw Review of Law, Administration and Economics",http://wrlae.prawo.uni.wroc.pl/index.php/wrlae,,2084-1264,,,,
Przestrzeń Społeczna ,http://socialspacejournal.eu/index.html,Social Space,2084-1558,,,,CC BY
Management and Business Administration. Central Europe,http://mbace.eu,,2084-3356,,,,
